Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
"Carpet,Stone",1,0,1800000.0,33.681244,-117.632513,3400.0,PH - Portola Hills,Orange,1,2.0,1993.0,4,Lake Forest,4,1,,3,0,0,2.0,Saddleback Valley Unified,170.0,7350.0,2026-05
,1,0,3270000.0,33.605402000000005,-117.895376,2551.0,N9 - Lower Newport Bay - Balboa Island,Orange,1,1.0,1972.0,5,Newport Beach,4,1,2,2,3,0,1.0,Newport Mesa Unified,0.0,2550.0,2026-05
"Laminate,Stone,Tile,Wood",0,0,480000.0,38.05910178,-120.18962895,1700.0,,Tuolumne,0,2.0,1991.0,2,Mi Wuk Village,3,1,2,2,,0,2.0,,,9401.0,2026-05
,1,0,930000.0,34.254159,-116.863388,2761.0,BBC - Big Bear City,San Bernardino,1,2.0,1990.0,4,Big Bear City,5,1,2,2,1,0,2.0,Bear Valley Unified,0.0,26844.0,2026-05
,1,0,10700000.0,33.884455,-118.39917,6973.0,144 - Manhattan Bch Hill,Los Angeles,1,3.0,2025.0,8,Manhattan Beach,6,1,,3,1,0,3.0,Manhattan Unified,0.0,7255.0,2026-05
,0,0,1155000.0,33.567925,-117.653364,1568.0,MS - Mission Viejo South,Orange,0,2.0,1976.0,2,Mission Viejo,3,1,1,1,3,0,2.0,Capistrano Unified,220.0,6305.0,2026-05
SeeRemarks,0,0,1100000.0,37.22761635,-121.78568184,1308.0,,Santa Clara,1,2.0,1970.0,2,San Jose,4,1,1,1,,0,2.0,,,6000.0,2026-05
SeeRemarks,0,0,1495000.0,37.69225444,-121.85428775,1915.0,,Alameda,1,2.0,2000.0,3,Pleasanton,3,0,2,2,,0,2.0,,150.0,2781.0,2026-05
,0,0,1023000.0,34.010084,-118.046565,2499.0,670 - Whittier,Los Angeles,1,3.0,1971.0,3,Whittier,4,1,2,2,1,0,3.0,Whittier Union High,90.0,16447.0,2026-05
"Carpet,Vinyl",0,0,1000000.0,38.0135765,-121.634101,1838.0,,Contra Costa,1,2.0,2024.0,3,Bethel Island,3,0,2,2,,0,2.0,,499.0,4875.0,2026-05
,1,0,2650000.0,33.868146,-118.399365,1575.0,148 - Hermosa Bch Sand,Los Angeles,1,1.0,1940.0,3,Hermosa Beach,3,1,2,2,3,0,1.0,Hermosa,0.0,4763.0,2026-05
"Tile,Wood",1,0,1125000.0,33.955982,-118.364738,2658.0,101 - North Inglewood,Los Angeles,0,6.0,1913.0,4,Inglewood,4,1,1,1,,0,,Inglewood Unified,,8866.0,2026-05
,1,0,1550000.0,33.648672999999995,-117.668986,2509.0,LN - Lake Forest North,Orange,1,3.0,1985.0,3,Lake Forest,4,1,2,2,1,0,3.0,Saddleback Valley Unified,130.0,10400.0,2026-05
"SeeRemarks,Tile",1,0,464000.0,38.2010424,-120.0099967,1100.0,,Tuolumne,0,0.0,1971.0,2,Strawberry,2,1,1,1,,0,0.0,,,9147.0,2026-05
"Carpet,SeeRemarks,Vinyl",0,0,509900.0,38.00091718,-120.27390947,2220.0,,Tuolumne,0,6.0,1983.0,3,Sonora,3,1,,3,,0,0.0,Sonora Union,,58806.0,2026-05
Carpet,0,0,694900.0,36.220333,-121.128871,2355.0,699 - Not Defined,Monterey,1,2.0,2026.0,3,King City,5,0,,0,,0,2.0,Other,85.0,8063.0,2026-05
"Carpet,Laminate,Tile",0,0,359000.0,37.9523511,-120.28156742,1392.0,,Tuolumne,1,2.0,1970.0,1,Sonora,2,1,1,1,,0,2.0,,,87555.0,2026-05
,1,0,500000.0,33.937658,-118.268425,1142.0,C37 - Metropolitan South,Los Angeles,1,2.0,1970.0,2,Los Angeles,3,0,1,1,3,0,2.0,Los Angeles Unified,0.0,5403.0,2026-05
"Tile,Wood",1,0,1000000.0,34.121619,-118.170365,1810.0,632 - Highland Park,Los Angeles,1,0.0,1960.0,2,Los Angeles,3,1,1,1,,0,,,,13440.0,2026-05
,1,0,800000.0,33.598386,-117.683487,1326.0,S2 - Laguna Hills,Orange,1,2.0,1972.0,2,Laguna Hills,3,1,1,1,3,0,2.0,Saddleback Valley Unified,0.0,6402.0,2026-05
Carpet,0,0,1410000.0,33.969299,-118.408532,1125.0,C29 - Westchester,Los Angeles,0,2.0,1947.0,1,Los Angeles,3,1,1,1,,0,2.0,Los Angeles Unified,,5611.0,2026-05
Laminate,1,0,630000.0,33.759976,-116.354209,1887.0,324 - East Palm Desert,Riverside,1,4.0,1991.0,3,Palm Desert,3,1,1,1,,0,2.0,,688.0,1.0,2026-05
Wood,0,0,3900000.0,34.170565,-118.267968,4714.0,626 - Glendale-Northwest,Los Angeles,0,7.0,1930.0,4,Glendale,4,1,2,2,,0,3.0,,,16478.0,2026-05
,0,0,600000.0,33.930952000000005,-118.164249,1190.0,T4 - South Gate E of 710,Los Angeles,0,2.0,1951.0,1,South Gate,3,1,1,1,3,0,2.0,Downey Unified,0.0,6354.0,2026-05
"Laminate,Vinyl",1,0,822000.0,33.825706,-118.132047,1258.0,28 - Lakewood City,Los Angeles,0,2.0,1945.0,2,Long Beach,3,1,1,1,3,0,2.0,Long Beach Unified,0.0,5514.0,2026-05
"Carpet,Laminate",0,0,250000.0,38.05729729999999,-120.2023461,1178.0,,Tuolumne,0,0.0,1947.0,2,Twain Harte,3,1,2,2,,0,0.0,,,7072.0,2026-05
"Laminate,Tile,Wood",0,0,1245000.0,37.595093,-122.48520475,1649.0,699 - Not Defined,San Mateo,1,4.0,1960.0,2,Pacifica,3,1,,0,,0,2.0,Other,,7500.0,2026-05
Wood,0,0,2837500.0,34.048778000000006,-118.388253,2811.0,C09 - Beverlywood Vicinity,Los Angeles,0,0.0,1936.0,3,Los Angeles,4,1,1,1,,0,,,,7012.0,2026-05
,1,0,725000.0,35.391843,-120.60302,1092.0,SMRG - Santa Margarita,San Luis Obispo,1,4.0,1963.0,1,Santa Margarita,2,0,1,1,2,0,4.0,Atascadero Unified,0.0,12197.0,2026-05
Wood,1,0,1200000.0,36.477456200000006,-121.73740887,1219.0,699 - Not Defined,Monterey,0,0.0,1978.0,2,Carmel Valley,2,1,,0,,0,0.0,Carmel Unified,,9551.0,2026-05
Wood,0,0,2520000.0,33.971555,-118.401928,2408.0,C29 - Westchester,Los Angeles,0,2.0,1951.0,3,Los Angeles,4,1,1,1,,0,,Los Angeles Unified,,9821.0,2026-05
Wood,1,1,2650000.0,34.158569,-118.353225,3046.0,TUL - Toluca Lake,Los Angeles,1,2.0,2025.0,6,North Hollywood,4,1,2,2,1,1,2.0,Los Angeles Unified,0.0,5628.0,2026-05
"Carpet,Wood",0,0,1380000.0,34.212945,-118.639309,3107.0,WEH - West Hills,Los Angeles,0,3.0,1984.0,3,Canoga Park,4,1,2,2,,0,3.0,,,11054.0,2026-05
,0,0,2300000.0,33.824775,-118.378741,1634.0,156 - S Redondo Bch S of Torrance Bl,Los Angeles,0,2.0,1949.0,2,Redondo Beach,2,1,1,1,1,0,2.0,Redondo Unified,0.0,5393.0,2026-05
SeeRemarks,0,0,1500000.0,37.43191179,-121.88339845,2001.0,,Santa Clara,1,2.0,1966.0,3,Milpitas,4,0,2,2,,0,2.0,,,9072.0,2026-05
,1,0,1865000.0,34.094405,-118.275986,2384.0,C21 - Silver Lake - Echo Park,Los Angeles,0,0.0,1939.0,3,Los Angeles,4,0,,0,,0,,Los Angeles Unified,,6699.0,2026-05
,0,0,3750000.0,33.893281,-118.396695,3236.0,143 - Manhattan Bch Tree,Los Angeles,1,2.0,1988.0,4,Manhattan Beach,5,1,2,2,5,0,2.0,Manhattan Unified,0.0,4482.0,2026-05
,0,0,980000.0,33.748064,-117.94929,1204.0,"66 - N of Blsa, S of GGrv, E of Brookhrst, W of Ha",Orange,1,2.0,1960.0,2,Westminster,3,0,1,1,3,0,2.0,Garden Grove Unified,0.0,6000.0,2026-05
"Carpet,Tile",1,0,1200000.0,37.85139287,-120.20645301,2333.0,,Tuolumne,1,2.0,1972.0,3,Groveland,3,1,,3,,0,2.0,,306.0,13905.0,2026-05
Wood,1,1,14500000.0,34.026537,-118.78439,7600.0,C33 - Malibu,Los Angeles,0,10.0,2001.0,6,Malibu,5,1,2,2,,0,3.0,Santa Monica-Malibu Unified,,52461.0,2026-05
