Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
"Carpet,Tile,Wood",1,0,5100000.0,37.39006465,-122.12438627,2530.0,699 - Not Defined,Santa Clara,1,2.0,1971.0,3,Los Altos,4,1,,0,,0,2.0,Other,,9752.0,2025-04
"Tile,Wood",0,0,2700000.0,33.925771999999995,-118.400207,1750.0,141 - El Segundo,Los Angeles,0,2.0,1955.0,2,El Segundo,4,1,1,1,4,0,2.0,El Segundo Unified,0.0,9503.0,2025-04
,0,0,5275000.0,37.57040086,-122.35686607,3020.0,699 - Not Defined,San Mateo,1,3.0,1959.0,4,Hillsborough,4,1,,0,,0,3.0,Other,,23053.0,2025-04
,0,1,4250000.0,33.638083,-117.897347,3010.0,N7 - West Bay - Santa Ana Heights,Orange,1,2.0,1959.0,3,Newport Beach,3,1,1,1,3,0,2.0,Newport Mesa Unified,0.0,8424.0,2025-04
,0,1,1930000.0,34.148925,-118.454823,1544.0,SO - Sherman Oaks,Los Angeles,0,2.0,1924.0,2,Sherman Oaks,3,0,1,1,3,0,2.0,Los Angeles Unified,0.0,10744.0,2025-04
Vinyl,1,0,1265000.0,33.642182,-117.63754099999998,1803.0,MN - Mission Viejo North,Orange,1,2.0,1986.0,3,Mission Viejo,3,1,2,2,0,0,2.0,Saddleback Valley Unified,105.0,4800.0,2025-04
,1,0,825000.0,33.857366,-118.104325,1405.0,"22 - Lakewood Estates, Lakewood Manor",Los Angeles,1,2.0,1962.0,2,Lakewood,4,1,1,1,4,0,2.0,Bellflower Unified,0.0,5117.0,2025-04
,0,0,1380000.0,37.2554944,-121.83468004,1908.0,699 - Not Defined,Santa Clara,1,2.0,1968.0,3,San Jose,4,1,,0,,0,2.0,Other,,6420.0,2025-04
Wood,0,0,5114600.0,33.993177,-118.463925,3738.0,C11 - Venice,Los Angeles,0,2.0,2018.0,5,Venice,4,1,2,2,,1,2.0,,,5370.0,2025-04
"Carpet,Tile",0,0,1550000.0,37.29155226,-121.94855288,720.0,699 - Not Defined,Santa Clara,0,4.0,1947.0,1,Campbell,2,0,,0,,0,0.0,Other,,8800.0,2025-04
